driverId,name,ssn,location,certified,wage-plan
10,Douglas Osborne,642-16-5105,"034 Joseph Valleys Suite 644
Lake Nicole, WA 49913",N,hours
11,Scott Todd,217-98-6624,"225 Robinson Mountains Suite 619
Randolphside, MD 55327",N,hours
12,Michael May,397-94-1934,"3732 Danielle Terrace
Jonathanstad, ND 78406",Y,miles
13,Michael Hayes,260-96-1750,"92149 Reynolds Garden
West Hailey, GA 13014",Y,hours
14,Veronica Castillo,068-98-3623,"32791 Charles Glen
Tracychester, NY 66251",Y,miles
15,Edward Riley,640-56-5695,"33326 Johnson Ports
Potterburgh, UT 02579",N,miles
16,Amber Aguilar,542-48-6702,"7817 Veronica Ville Apt. 041
Port Samuel, NV 52834",Y,miles
17,Daniel Woodward,299-12-1646,"7194 Weaver Island
Chrisville, VT 23072",Y,miles
18,Brianna Carter,340-34-6818,"Unit 3154 Box 8359
DPO AE 23428",N,miles
19,Leslie Adams,835-82-6535,"72760 Aaron Camp Apt. 276
South Codyton, NE 89421",N,hours
20,Rebecca Herrera,692-71-5914,"584 George Mall Suite 437
Floydview, VT 78593",Y,hours
21,Ashlee Mcfarland,115-93-9780,"762 Wells Plaza Apt. 387
South Keith, PA 08971",Y,hours
22,Daniel Carter,566-27-9311,"USS Petersen
FPO AP 79793",N,hours
23,Sara Watson,284-78-8856,"764 Sarah Views Apt. 192
Port Ruben, OR 07632",N,miles
24,Christopher Morrison,816-61-9691,"990 Stephenson Stream
South Emily, WV 64047",Y,miles
25,Diane Williams DVM,101-03-7282,"104 Sara Terrace Apt. 340
Michaelburgh, OK 05783",Y,miles
26,Donna Chen,082-39-8720,"USCGC Vega
FPO AP 05003",Y,miles
27,John Greer,635-81-7557,"136 Anthony Field
Lake Michael, DC 82851",Y,hours
28,Amber Mendoza,154-60-4179,"6862 Pittman Light
Simsville, VT 53795",Y,hours
29,Ronald Christian,369-01-3053,"858 Fisher Canyon Suite 696
Lake Joseph, KY 41116",N,miles
30,Mark French,564-67-1011,"520 Campbell Cliff
Richardton, ND 24190",N,miles
31,Kevin Nguyen,030-97-3659,"09577 Norman Parkway
Rebeccaport, NE 37469",N,miles
32,Kevin Scott,065-29-0700,"3533 Peterson Island
Lake Ericland, NC 00914",Y,miles
33,Kristen Knox MD,076-14-8820,"1264 Parks Port
Kevinville, NE 57970",Y,miles
34,Jacqueline Young,108-14-2921,"8239 Ronald Overpass
Port Bonniestad, SD 39850",N,miles
35,Elizabeth Smith,772-67-0338,"5094 Patricia Knoll
Elizabethmouth, TX 44150",Y,miles
36,Harold Wilcox,166-84-1930,"1388 James Cape Suite 421
Sandovalchester, PR 43031",N,miles
37,Angelica Dean,697-14-0568,"693 Sean Street
Santanaport, DC 54255",Y,hours
38,April Jackson,715-69-2402,"091 Michael Ville
Billyside, AL 45693",Y,hours
39,Angela Hunter,373-43-9872,"06933 Dawn Garden Apt. 839
West Jodi, PR 26827",N,hours
40,Brooke Willis,387-48-0562,"970 David Cove
North Kathryn, AK 66686",N,miles
41,Angela Farmer,147-80-4732,"4936 Curry Keys
Cherylland, CT 55005",Y,miles
